helping,title,eventtitle,identifier,arg.type,arg.day,arg.month,arg.calendar,arg.status,arg.statusCount,arg.secDayCount,arg.startYear,arg.stopYear,tag,add.category.COMMA,add.rank,add.locale.COMMA,add.freelocale.COMMA,add.freespecial..COMMA,add.alias,add.remark,arg.timer.useTimeZoneOfFrontend,arg.timer.timeZoneOfEvent,arg.timer.ultimateBeginningTimer,arg.timer.ultimateEndingTimer,arg.timer.startTimeSeconds,arg.timer.startDateTime,arg.timer.durationMinutes,arg.timer.durationNatural,arg.timer.activeWeekday,arg.timer.nthWeekdayInMonth,arg.timer.activeMonth,arg.timer.periodLength,arg.timer.periodUnit,arg.timer.namedDateMidnight,arg.timer.relMinToSelectedTimerEvent,arg.timer.calendarUse,arg.timer.moonPhase,arg.timer.moonStatus,arg.timer.latitude,arg.timer.longitude,arg.timer.yamlPeriodFilePath,arg.timer.recursiveLoopLimit,arg.timer.yamlActiveFilePath,arg.timer.yamlForbiddenFilePath,arg.timer.sunPosition,arg.timer.nthWeekdayInMonth,ignored
,Bertoldstag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.liBertoldsDay,greg-liBertoldsDay,fixed,2,1,gregorian,,,,,,religion,christian,5,de_LI,de_LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heilige drei Könige,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.holyThreeKings,greg-holyThreeKings,fixed,6,1,gregorian,,,,,,religion,christian,3,"de_DE,de_LI,hr_HR","de_LI,hr_HR",de_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tag der Demokratie,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.cvDayOfDemocracy,greg-cvDayOfDemocracy,fixed,13,1,gregorian,,,,,,political,,5,"kea_CV,pt_CV","kea_CV,pt_CV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tag der Erwachsenen,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.jpDayOfAdults,greg-jpDayOfAdults,fixed,15,1,gregorian,,,,,1999,political,,5,ja_JP,ja_JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tag der Erwachsenen,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.jpDayOfAdultsNew,greg-jpDayOfAdultsNew,weekdayly,,1,gregorian,1,2,,2000,,political,,5,ja_JP,ja_JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nationaler Heldentag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.cvDayOfHeros,greg-cvDayOfHeros,fixed,20,1,gregorian,,,,,,historical,,5,"kea_CV,pt_CV","kea_CV,pt_CV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sainte Devota (Patron of Monaco),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.mcSainteDevota,greg-mcSainteDevota,fixed,27,1,gregorian,,,,,,culture,,5,fr_MC,fr_MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tag der mexikanischen Verfassung ,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.mxConstituationLayOfMexico,greg-mxConstituationLayOfMexico,weekdayly,,2,gregorian,1,1,,,,political,,,es_MX,es_MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abschaffung der Sklaverei,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.muAbolitionOfSlavery,greg-muAbolitionOfSlavery,fixed,1,2,gregorian,,,,,,political,,5,en_MU,en_MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bankfeiertag im Februar,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.jpFirstFebruary,greg-jpFirstFebruary,fixedshifting,1,2,gregorian,,"0,6,5,4,0,2,1",,,,culture,,4,"en_IE,ga_IE","en_IE,ga_IE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
